movie_name,category,movie_rate,description,country,date,duration,movie_link
The Clean Up Crew,"Action, Comedy, Crime",4.6,"When a crime scene clean up crew discovers a briefcase full of money, they must out smart a criminal kingpin and corrupt FBI agents who want it back.","Ireland, United States of America",2024,95min,https://goku.sx/movie/watch-the-clean-up-crew-112975
Love in Wolf Creek,"TV Movie, Romance",6.1,Sam sets out to save a pack of wild wolves and a conservation refuge with the help of the town's handsome newcomer.,"Canada, United States of America",2022,90min,https://goku.sx/movie/watch-love-in-wolf-creek-112969
Peter Five Eight,"Thriller, Comedy, Drama",6.4,"Sam, a seemingly poised and glamorous real estate agent in a small mountain community, is revealed to be an unhinged and troubled alcoholic with a dark secret, when a charismatic man named Peter shows up in town one day. As she tries to keep her life from unravelling, an older co-worker named Brenda is targeted by Peter for information at the behest of his powerful and shadowy boss, Mr. Lock.",United States of America,2024,100min,https://goku.sx/movie/watch-peter-five-eight-107614
Sk8face,Documentary,8.1,"Tells the history of skateboard art and its evolution through the decades, as iconic and rebellious skateboarders and artists give firsthand experiences and stories about their art that challenged the establishment.",United States of America,2024,79min,https://goku.sx/movie/watch-sk8face-112951
Firecracker,"Thriller, Action",3.8,"When a heist goes dramatically wrong, leaving a hostage in peril, an unlikely trio find themselves fighting for their lives and their sanity on bonfire night.",United Kingdom,2024,107min,https://goku.sx/movie/watch-firecracker-112948
Inside Out 2,"Animation, Family, Drama, Adventure, Comedy",8,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",United States of America,2024,97min,https://goku.sx/movie/watch-inside-out-2-110170
The Union,"Action, Comedy",5.5,A New Jersey construction worker goes from regular guy to aspiring spy when his long-lost high school sweetheart recruits him for an espionage mission.,United States of America,2024,109min,https://goku.sx/movie/watch-the-union-112837
Gunner,"Action, Thriller, Crime",3.3,"While on a camping trip in order to reconnect, war veteran Colonel Lee Gunner must save his two sons from a gang of violent bikers when they're kidnapped after accidentally stumbling upon to a massive drug operation.",United States of America,2024,90min,https://goku.sx/movie/watch-gunner-112819
Dance First,"History, Drama",6.1,"Parisian bon vivant, World War II Resistance fighter, Nobel Prize-winning playwright, philandering husband and recluse…Samuel Beckett lived a life of many parts. Titled after Beckett’s famous ethos “Dance first, think later”, the film is a sweeping account of the life of this 20th-century icon.","Belgium, Hungary, United Kingdom",2023,100min,https://goku.sx/movie/watch-dance-first-112816
Crescent City,"Crime, Thriller, Action",3.8,"A small town in the south is ravaged by a serial killer, with everyone being a suspect including the police.",United States of America,2024,103min,https://goku.sx/movie/watch-crescent-city-112813
The Duel,"Comedy, Drama",4.4,"When Woody finds out his best friend has been sleeping with his girlfriend, he challenges him to a duel, taking their friend group across the border to a mysterious and stunning estate.",United States of America,2024,99min,https://goku.sx/movie/watch-the-duel-112774
Jackpot!,"Action, Comedy",5.8,"In the near future, a 'Grand Lottery' has been established - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot. When Katie Kim mistakenly finds herself with the winning ticket, she reluctantly joins forces with amateur lottery protection agent Noel Cassidy who must get her to sundown in exchange for a piece of her prize.",United States of America,2024,106min,https://goku.sx/movie/watch-jackpot-112720
The Beast Within,Horror,4.2,"Follows a ten-year-old girl as she starts to question her atypical life in her family's fortified compound in rural England, ultimately discovering that once a month, her father turns into a monster.",United Kingdom,2024,97min,https://goku.sx/movie/watch-the-beast-within-112000
Watchmen: Chapter I,"Animation, Mystery, Science Fiction, Action",7.1,"In an alternate world history shaped by superheroes, once-celebrated ""costumed adventurers"" have been banned by a society disenchanted with vigilantism. Now, in 1985, the murder of The Comedian, a hero-turned-government operative, draws the attention of Rorschach, the last of the outlawed vigilantes. Rorschach’s investigation embroils his retired colleagues, Nite Owl, Silk Spectre, Dr. Manhattan and Ozymandias, in conflict with their pasts, with each other and in a mystery that threatens their lives and a world on the brink of war.",United States of America,2024,84min,https://goku.sx/movie/watch-watchmen-chapter-i-112666
We Are Zombies,"Horror, Comedy, Thriller",5.5,In a city infested with the LIVING-IMPAIRED aka non-cannibal zombies - three slackers after easy money must fight small-time crooks and an evil megacorporation to save their kidnapped grandma.,"Canada, France",2024,80min,https://goku.sx/movie/watch-we-are-zombies-112663
Fly Me to the Moon,"Comedy, Romance",?,"Sparks fly in all directions as marketing maven Kelly Jones, brought in to fix NASA's public image, wreaks havoc on Apollo 11 launch director Cole Davis' already difficult task of putting a man on the moon. When the White House deems the mission too important to fail, Jones is directed to stage a fake moon landing as backup, and the countdown truly begins.",United States of America,2024,132min,https://goku.sx/movie/watch-fly-me-to-the-moon-111118
