serie_name,season_episode,category,serie_rate,description,country,duration,movie_link
Vidas Bandidas,SS 1 / EPS 4,"Crime, Drama",?,"Raimundo and Serginho are partners in a life of committing robberies. When Raimundo decides to leave the life of crime, he is convinced by Serginho to take part in one last heist, unaware that their target is their boss, Bruna. The robbery spirals out of control and places the three of them in a cruel, vengeful cycle.","Argentina, Brazil",N/A m,https://goku.sx/series/watch-vidas-bandidas-113083
Tyler Perry's Assisted Living,SS 5 / EPS 2,Comedy,3.8,"The patriarch of a young family with teenagers moved to the backwoods of Georgia after he lost his job. He wants to help his crazy grandfather, so he moves there. He bought a run-down home for the elderly, but Grandpa Vinny has no idea how to fix it and is way out of his depth. Mr. Brown and Cora show up at the right time as investors who need money.",United States of America,22 m,https://goku.sx/series/watch-tyler-perrys-assisted-living-63476
Stags,SS 1 / EPS 3,"Comedy, Drama",?,"Stu's stag do in South America goes bad when Greg collapses at customs and is found to be full of cocaine. Arrested, the group are taken to an island prison run by cocaine-smuggling siblings, Selma and Branco. Things go from very bad to much worse.",United Kingdom,50 m,https://goku.sx/series/watch-stags-113032
Shaun Micallef's Eve of Destruction,SS 1 / EPS 2,"Comedy, Talk",?,"It’s a talk show like no other: one question, two guests and the man everyone agrees is this country’s least experienced interviewer. The question? If your house was about to be destroyed, what two things would you save?",Australia,50 m,https://goku.sx/series/watch-shaun-micallefs-eve-of-destruction-113029
The Ark,SS 2 / EPS 6,Sci-Fi & Fantasy,4,"100 years in the future, planetary colonization missions have begun as a necessity to help secure the survival of the human race. The first of these missions on a spacecraft known as Ark One encounters a catastrophic event causing massive destruction and loss of life. With more than a year left to go before reaching their target planet, a lack of life-sustaining supplies and loss of leadership, the remaining crew must become the best versions of themselves to stay on course and survive.",United States of America,45 m,https://goku.sx/series/watch-the-ark-92818
The King of the Machos,SS 1 / EPS 8,"Comedy, Drama",?,"Eighteen-year-old Charly is ready to disclose his identity as a transgender young man. First, he must confront the prejudice of the macho villagers in his town. To earn people's respect, he decides to sign up for ""The King of the Machos,"" a contest which supposedly measures its competitors' manhood through games and physical challenges.",Mexico,N/A m,https://goku.sx/series/watch-the-king-of-the-machos-113080
The Absent Voice,SS 1 / EPS 7,"Drama, Crime",?,"When his older brother is found dead, apparently by suicide, the renowned psychoanalyst Pablo Rouviot is the only one convinced that it is a murder. With the assistance of Officer Cecilia Bermúdez as his sole ally, Pablo takes on the investigation, uncovering a much larger scheme with a serial killer at its core.",Argentina,N/A m,https://goku.sx/series/watch-the-absent-voice-113065
Selenkay,SS 1 / EPS 8,"Drama, Sci-Fi & Fantasy, Mystery",?,"After constantly traveling due to her parents' work, sixteen-year-old Sofía wants stability: to go to school and have friends. When they move to Río Vivo, a small town in the mountains, she finally gets what she wants, until a strange water-bound power threatens the normal teenage life she's worked so hard to achieve.",Argentina,N/A m,https://goku.sx/series/watch-selenkay-113038
The Accident,SS 1 / EPS 10,Drama,?,"When a birthday party takes a tragic turn, its ripples shatter a close-knit community — tearing families, friendships and hearts apart.",Mexico,N/A m,https://goku.sx/series/watch-the-accident-113035
All American: Homecoming,SS 3 / EPS 7,Drama,6.1,Complies with a young tennis hopeful from Beverly Hills and an elite baseball player from Chicago as they emulate the high stakes of university sporting activities.,United States of America,45 m,https://goku.sx/series/watch-all-american-homecoming-77533
Bad Monkey,SS 1 / EPS 3,"Comedy, Crime",7.3,"A detective turned restaurant inspector in Southern Florida is pulled into a world of greed and corruption after a tourist finds a severed arm while fishing. And yes, there's a monkey.",United States of America,50 m,https://goku.sx/series/watch-bad-monkey-112669
Sunny,SS 1 / EPS 8,"Mystery, Drama, Comedy",6.8,"The life of an American woman living in Kyoto, Japan, is upended when her husband and son disappear in a mysterious plane crash. As consolation, she's given Sunny, one of a new class of domestic robots made by her husband's electronics company.",United States of America,50 m,https://goku.sx/series/watch-sunny-111184
Time Bandits,SS 1 / EPS 10,"Sci-Fi & Fantasy, Action & Adventure, Comedy",6,Eleven-year-old Kevin's passion for history is put to the test when he joins a ragtag group of time-traveling thieves on a high-stakes and hilarious adventure.,"New Zealand, United Kingdom, United States of America",50 m,https://goku.sx/series/watch-time-bandits-111877
The Resilient Dr. Ling,SS 1 / EPS 10,Drama,?,"Dr. Ling Ruojin, a modern medical expert, is transported to ancient times and forced to marry the despised Prince Xiao Yehan. Facing scheming rivals, she uses her advanced medical skills and bold personality to overcome her enemies and achieve a fulfilling life.",China,13 m,https://goku.sx/series/watch-the-resilient-dr-ling-112996
For the Young Ones,SS 1 / EPS 13,"Drama, Crime",?,"The newly appointed Director of the Juvenile Prosecution Department, Lei Xu, juvenile prosecutor Du Ziyu, clerk Yang Tian, and bailiff Xu Zhangli, along with the team at the Ninth Prosecution Department, tackle juvenile criminal cases. When a routine case takes an unexpected turn, they find themselves investigating a juvenile suspect in an accidental death. As they dig deeper, several seemingly unrelated cases reveal a complex web of connections. The team gradually uncovers the truth, bringing the criminals to justice while working to protect the youth and nurturing hope for a future where their services are no longer needed.",China,N/A m,https://goku.sx/series/watch-for-the-young-ones-112993
Dawn is Breaking,SS 1 / EPS 10,Drama,?,"On her wedding day, Xie Wanyin witnesses Dongfang Zui, the state preceptor, kill the Duke, making her his next target. Instead of silencing her, he forces her into marriage, leading to a battle of wits and courage where she discovers unsettling connections to her past and a conspiracy that binds their fates.",China,N/A m,https://goku.sx/series/watch-dawn-is-breaking-112990
Terror Tuesday: Extreme,SS 1 / EPS 8,Drama,6.9,"Inspired by the Thai horror radio show ""Angkhan Khlumpong,"" this series presents eight stories based on real-life experiences shared by listeners.",Thailand,N/A m,https://goku.sx/series/watch-terror-tuesday-extreme-112987
The Lady Commander,SS 1 / EPS 14,Drama,?,"Lin Yue'er, daughter of a defeated general, disguises herself as a singsong girl named Ting Wu to investigate her father's defeat. Amidst dangers from Guo Shucheng, Guo Feng, Zhao Dinghong, and Sui Ruoan, she uses her wits to uncover the truth and seek justice for the thousands of loyal soldiers of the Lin family army.",China,N/A m,https://goku.sx/series/watch-the-lady-commander-112945
Paradise Motel,SS 1 / EPS 6,Drama,6.6,,Canada,6 m,https://goku.sx/series/watch-paradise-motel-112915
SEAL Team,SS 7 / EPS 3,"Action & Adventure, Drama, War & Politics",7.7,"See how our country's finest Navy Seals prepare for, plan, and carry out its most perilous missions ever.",United States of America,43 m,https://goku.sx/series/watch-seal-team-39399
Last Week Tonight with John Oliver,SS 11 / EPS 20,"Talk, Comedy",8.9,"A half-hour satirical look at the week in news, politics and current events.",United States of America,30 m,https://goku.sx/series/watch-last-week-tonight-with-john-oliver-39347
Industry,SS 3 / EPS 2,Drama,7.1,"Some young people are competing for a few jobs at one of the best investment banks in London. There aren't any clear lines between coworker, friend, lover, or enemy. As they become more immersed in a company culture that isn't just about making money, the boundaries between them start to blur.",United States of America,60 m,https://goku.sx/series/watch-industry-64551
Futurama,SS 12 / EPS 4,"Animation, Comedy, Drama, Sci-Fi & Fantasy",8.5,"Philip J. Fry, a pizza delivery boy from the late 20th century in New York City, is employed by Planet Express, a retrofuturistic interplanetary delivery service, in the 31st century.",United States of America,22 m,https://goku.sx/series/watch-futurama-39387
Les Oubliettes,SS 1 / EPS 6,N/A,?,,Canada,12 m,https://goku.sx/series/watch-les-oubliettes-112912
Vidas Bandidas,SS 1 / EPS 4,"Crime, Drama",?,"Raimundo and Serginho are partners in a life of committing robberies. When Raimundo decides to leave the life of crime, he is convinced by Serginho to take part in one last heist, unaware that their target is their boss, Bruna. The robbery spirals out of control and places the three of them in a cruel, vengeful cycle.","Argentina, Brazil",N/A m,https://goku.sx/series/watch-vidas-bandidas-113083
Tyler Perry's Assisted Living,SS 5 / EPS 2,Comedy,3.8,"The patriarch of a young family with teenagers moved to the backwoods of Georgia after he lost his job. He wants to help his crazy grandfather, so he moves there. He bought a run-down home for the elderly, but Grandpa Vinny has no idea how to fix it and is way out of his depth. Mr. Brown and Cora show up at the right time as investors who need money.",United States of America,22 m,https://goku.sx/series/watch-tyler-perrys-assisted-living-63476
Stags,SS 1 / EPS 3,"Comedy, Drama",?,"Stu's stag do in South America goes bad when Greg collapses at customs and is found to be full of cocaine. Arrested, the group are taken to an island prison run by cocaine-smuggling siblings, Selma and Branco. Things go from very bad to much worse.",United Kingdom,50 m,https://goku.sx/series/watch-stags-113032
